epoch,loss,train_acc,val_acc
1,1.1850469295434125,0.5665512122711529,0.6521739130434783
2,0.8623422149598129,0.6892627412172192,0.6778656126482213
3,0.7607588089826539,0.7125185551707076,0.6758893280632411
4,0.75274733600654,0.7293419099455715,0.7312252964426877
5,0.7411636107080565,0.7278574962889659,0.7075098814229249
6,0.7213086007148262,0.7407224146462148,0.7252964426877471
7,0.6962794527763457,0.7570509648688768,0.6936758893280632
8,0.7249540673700843,0.7471548738248391,0.7371541501976284
9,0.6696701392414063,0.7580405739732805,0.6857707509881423
10,0.6779354707462582,0.7580405739732805,0.7608695652173914
11,0.6773308594161132,0.7545769421078674,0.7233201581027668
12,0.6818333674134232,0.7476496783770411,0.7272727272727273
13,0.6311843832881432,0.7733795150915388,0.691699604743083
14,0.6493958656008788,0.760019792182088,0.7114624505928854
15,0.6920357754850012,0.752102919346858,0.7430830039525692
16,0.6434186336797053,0.7694210786739238,0.7391304347826086
17,0.6616970500138801,0.7629886194952994,0.7628458498023716
18,0.6713335360363712,0.7580405739732805,0.7292490118577075
19,0.6616364261062126,0.7595249876298862,0.7470355731225297
20,0.6607322773830159,0.7565561603166749,0.7213438735177866
